;data_extracao;codigo_fundo;preco_atual;liquidez_diaria;dividendo;dy;dy_3_acumulado;dy_6_acumulado;dy_12_acumulado;dy_3_media;dy_6_media;dy_12_media;dy_ano;variacao_preco;rentabilidade_periodo;rentabilidade_acumulada;vpa;p_vpa;dy_patrimonial;variacao_patrimonial;rentabilidade_patrimonial_periodo;rentabilidade_patrimonial_acumulada;vacancia_fisica;vacancia_financeira;quantidade_ativos
0;2022-11-20 23:33:12.575121;FIVN11;3.49;6466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;6.96;50;;;;;56.0;;1
1;2022-11-20 23:33:12.575121;BZLI11;16.01;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.68;0.68;1.14;10.54;152;;;;;;;0
2;2022-11-20 23:33:12.575121;XTED11;8.8;3271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;1.1;-37.83;13.29;66;;;;;0.0;100.0;1
3;2022-11-20 23:33:12.575121;ALMI11;916.02;121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.27;2.27;-28.29;2251.56;41;;;;;64.05;;1
4;2022-11-20 23:33:12.575121;PABY11;23.37;3237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-19.84;-19.84;-31.62;-15.38;-152;;;;;;;1
5;2022-11-20 23:33:12.575121;ORPD11;93.0;3;1.38;0.0;;;;;;;;;;;148.64;63;;;;;;;0
6;2022-11-20 23:33:12.575121;GSFI11;5.0;334;0.0;0.03;0.03;0.03;0.03;0.01;0.0;0.0;0.03;0.0;0.03;0.03;13.56;37;;;;;10.3;;10
7;2022-11-20 23:33:12.575121;NEWU11;40.63;100;0.0;0.0;0.0;0.56;16.63;0.0;0.09;1.39;0.61;-4.04;-4.04;-31.62;65.12;62;;;;;63.2;;3
8;2022-11-20 23:33:12.575121;PRSV11;142.0;14;1.62;0.42;1.53;2.91;5.95;0.51;0.48;0.5;4.46;5.3;5.74;-11.25;243.64;58;;;;;40.9;;2
9;2022-11-20 23:33:12.575121;FAMB11B;773.0;2817;9.16;0.56;2.17;4.78;10.43;0.72;0.8;0.87;8.82;-47.8;-47.51;-47.8;3033.35;25;;;;;100.0;;1
10;2022-11-20 23:33:12.575121;FMOF11;56.45;57;0.64;0.0;;;;;;;;;;;122.77;46;;;;;52.08;;1
11;2022-11-20 23:33:12.575121;HGRS11;10.03;9639;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
12;2022-11-20 23:33:12.575121;HGRS11;10.05;50319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
13;2022-11-20 23:33:12.575121;HGRS11;10.03;78020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
14;2022-11-20 23:33:12.575121;HGRS11;10.04;89910;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
15;2022-11-20 23:33:12.575121;HGRS11;10.04;109262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
16;2022-11-20 23:33:12.575121;HGRS11;10.03;85924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
17;2022-11-20 23:33:12.575121;HGRS11;10.08;121381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
18;2022-11-20 23:33:12.575121;HGRS11;10.0;175712;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
19;2022-11-20 23:33:12.575121;HGRS11;10.14;160602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;101.81;10;;;;;;;0
20;2022-11-20 23:33:12.575121;KNRE11;0.95;439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.16;82;;;;;;;0
21;2022-11-20 23:33:12.575121;RBDS11;2.77;15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.51;14;;;;;;;0
