;codigo_fundo;setor;preco_atual;liquidez_diaria;dividendo;dy;dy_3_acumulado;dy_6_acumulado;dy_12_acumulado;dy_3_media;dy_6_media;dy_12_media;dy_ano;variacao_preco;rentabilidade_periodo;rentabilidade_acumulada;patrimonio_liquido;vpa;p_vpa;dy_patrimonial;variacao_patrimonial;rentabilidade_patrimonial_periodo;rentabilidade_patrimonial_acumulada;vacancia_fisica;vacancia_financeira;quantidade_ativos
138;HUSI11;Hospital;R$ 91,45;3516.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
139;HUSI11;Hospital;R$ 91,75;2259.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
140;HUSI11;Hospital;R$ 91,96;7606.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
141;PLRI11;Títulos e Val. Mob.;R$ 24,99;160.0;R$ 0,14;0,62%;2,27%;4,15%;11,97%;0,76%;0,69%;1,00%;10,95%;-7,09%;-6,52%;-33,91%;R$ 31.796.945,66;R$ 33,32;75.0;0,42%;-0,75%;-0,34%;-13,40%;;;0
142;BBRC11;Outros;R$ 93,41;706.0;R$ 0,99;0,99%;2,92%;5,90%;11,53%;0,97%;0,98%;0,96%;9,67%;-0,22%;0,77%;10,02%;R$ 169.678.849,01;R$ 106,72;88.0;0,93%;-0,09%;0,84%;8,39%;5,37%;1,08%;20
143;IDFI11;Híbrido;R$ 61,92;18.0;R$ 0,23;0,37%;2,21%;6,88%;0,00%;0,74%;1,15%;0,00%;12,08%;-1,88%;-1,52%;-31,43%;R$ 133.754.466,82;R$ 64,99;95.0;0,61%;-2,37%;-1,78%;-11,61%;;;0
144;RRCI11;Títulos e Val. Mob.;R$ 84,36;358.0;R$ 1,00;1,20%;3,83%;8,22%;16,17%;1,28%;1,37%;1,35%;13,78%;-3,05%;-1,88%;11,52%;R$ 46.186.699,52;R$ 95,87;88.0;1,04%;-0,39%;0,65%;11,40%;;;0
145;ATSA11;Shoppings;R$ 80,08;1.0;R$ 0,05;0,07%;0,31%;0,92%;2,82%;0,10%;0,15%;0,24%;0,13%;-5,04%;-4,97%;-4,91%;R$ 158.178.977,87;R$ 90,33;89.0;0,06%;0,10%;0,16%;0,61%;21,90%;;1
146;VTLT11;Logística;R$ 90,01;1066.0;R$ 0,83;0,85%;2,58%;5,33%;10,48%;0,86%;0,89%;0,87%;8,90%;1,24%;2,11%;16,11%;R$ 217.690.860,62;R$ 102,93;87.0;0,81%;0,05%;0,85%;7,99%;0,00%;0,00%;1
147;RBRS11;Híbrido;R$ 63,89;1541.0;R$ 0,43;0,70%;1,97%;4,50%;8,48%;0,66%;0,75%;0,71%;7,19%;-2,32%;-1,64%;-1,85%;R$ 155.438.181,69;R$ 89,63;71.0;0,48%;-0,06%;0,42%;-0,06%;;;0
